author,now_price,pre_price,short_title,title
闫磊,¥44.50,¥89.00, 地理信息系统Arcgis 从基础到实践 视频案例教学arcgis 10.7编程开发GIS技术开发完全自学教材 大数据地理, 地理信息系统Arcgis 从基础到实践 视频案例教学arcgis 10.7编程开发GIS技术开发完全自学教材 大数据地理 ArcGIS 10.7*教程，163个配套操作视频，99个工具详细讲解，众多案例和打印工具
杨卓凡,¥39.50,¥79.00, 数字产业新赛道, 数字产业新赛道 
亚历克斯,¥49.00,¥98.00, React学习手册（第二版）, React学习手册（第二版） 本书涵盖状态管理、React 路由、测试和服务器端渲染，不仅介绍基础知识，还将进行实战演练。
唯美世界,¥64.00,¥128.00, 中文版3ds Max2023从入门到精通微课视频全彩版唯美 Autodesk 3dmax标准教材教程书籍 3dsmax三, 中文版3ds Max2023从入门到精通微课视频全彩版唯美 Autodesk 3dmax标准教材教程书籍 3dsmax三 3dsmax专家委员升级作品，211集视频，139个实例教学，三维建模效果图制作建筑设计模型设计影视特效CG动画游戏完全自学教程
李挺,¥54.90,¥109.80, Python办公自动化从入门到精通, Python办公自动化从入门到精通 Python编程快速上手，让你的Excel、Word、PDF、PPT飞起来；书课一体，立体化教学，有效提升办公效率。
赛哲生物视觉团队,¥39.00,¥78.00, 生命科学插图从入门到精通——Adobe Illustrator使用技巧（没有精美的图画，怎样让别人一目了然且赏心悦目地理, 生命科学插图从入门到精通——Adobe Illustrator使用技巧（没有精美的图画，怎样让别人一目了然且赏心悦目地理 
俞勇,¥17.50,¥35.00, ACM国际大学生程序设计竞赛：知识与入门, ACM国际大学生程序设计竞赛：知识与入门 
增井敏克,¥31.00,¥69.00, 图解数据科学：手把手教你挖掘数据的隐藏价值, 图解数据科学：手把手教你挖掘数据的隐藏价值 基础解说+案例图解+要点提炼+实战指导！数据时代的案头书，用直观的插图，讲透数据科学的基础知识、处理方法，以及如何结合人工智能。
天工在线,¥44.90,¥89.80, 中文版SOLIDWORKS 2020从入门到精通 实战案例+视频讲解 solidworks二次开发solidworks有, 中文版SOLIDWORKS 2020从入门到精通 实战案例+视频讲解 solidworks二次开发solidworks有 2020新版！畅销书升级！手机扫码看900分钟同步视频+70个实例分析+12大行业应用案例+70页电子书，赠全书实例源文件，基础知识+中小实例+综合案例
秋叶,¥34.90,¥69.80, 秒懂AI设计：人人都能成为设计高手, 秒懂AI设计：人人都能成为设计高手 
王鹏,¥84.00,¥168.00, 数字孪生驱动的战场复杂电磁环境建模与仿真, 数字孪生驱动的战场复杂电磁环境建模与仿真 
天工在线,¥44.90,¥89.80, 中文版MATLAB Simulink 2022系统仿真从入门到精通（实战案例版）Simulink系统建模 simulin, 中文版MATLAB Simulink 2022系统仿真从入门到精通（实战案例版）Simulink系统建模 simulin CAD/CAM/CAE/EDA专家编写，290分钟同步讲解视频+126个实例案例分析+源文件+赠送资源+在线交流
网络安全技术联盟,¥39.90,¥79.80, Web安全与攻防实战从新手到高手（微课超值版）, Web安全与攻防实战从新手到高手（微课超值版） Web安全实用手册，一线网络安全技术联盟多年实战经验倾心打造、配套同步微视频、精美教学PPT课件和海量资源。
钱慎一,¥29.90,¥59.80, Ubuntu Linux操作系统标准教程（实战微课版）, Ubuntu Linux操作系统标准教程（实战微课版） 教学课件+教案文档+学习视频+素材资源+在线答疑+互助交流
新镜界,¥44.90,¥89.80, 手机短视频策划、拍摄、剪辑、运营从入门到精通 Vlog变现直播带货从入门到精通 剪映短视频剪辑教程 短视频编辑与制作 创, 手机短视频策划、拍摄、剪辑、运营从入门到精通 Vlog变现直播带货从入门到精通 剪映短视频剪辑教程 短视频编辑与制作 创 内容策划/视频拍摄/视频频辑/账号运营/商业变现五大模块十大环节，千聊特约讲师摄影师助你打通短视频创业的层层关卡
吴灿铭,¥34.50,¥69.00, 图解算法：使用C++, 图解算法：使用C++ 一本轻量级的图解算法图书是你获得程序设计新技能、提升自我价值的较好投资
吴凌飞,¥89.40,¥178.80, 图神经网络：基础、前沿与应用, 图神经网络：基础、前沿与应用 图神经网络GNN城堡书重磅上市，GNN领域专家学者吴凌飞、裴健、崔鹏、赵亮联合编撰，清华大学教授、中科院院士张钹作序推荐，众多大咖联袂推荐
王维波,¥59.90,¥119.80, STM32Cube高效开发教程（基础篇）, STM32Cube高效开发教程（基础篇） STM嵌入式系统开发教程，系统性地介绍STM32的HAL库开发，附赠示例源代码、示例运行演示视频和课件，STM32应用开发者入门到进阶参考书籍。
Vinny,¥60.00,¥120.00, 狩猎网络罪犯——黑客视角的开源情报实战, 狩猎网络罪犯——黑客视角的开源情报实战 黑客视角的开源情报实战
陈恒,¥49.90,¥99.80, SSM + Spring Boot + Vue.js 3全栈开发从入门到实战（微课视频版）, SSM + Spring Boot + Vue.js 3全栈开发从入门到实战（微课视频版） （1）内容系统全面 （2）精心设计大量实例和案例。 （3）配套资源丰富。
王进,¥34.50,¥69.00, 华为HCIA-Datacom认证实验指南 华为HCIA认证备考指南 华为hcia学习指南 华为数通认证考试自学教材 网络, 华为HCIA-Datacom认证实验指南 华为HCIA认证备考指南 华为hcia学习指南 华为数通认证考试自学教材 网络 华为HCIA认证备考手册，涵盖版HCIA-Datacom考试认证内容。 以企业需求为导向，精简理论，技能为主。 配备知识点及实验授课视频，在线交流。
艾伦·哈珀,¥64.00,¥128.00, 灰帽黑客(第5版), 灰帽黑客(第5版) 新版增加13章内容，分析敌方当前的武器、技能和战术，提供切实有效的补救措施、案例研究和可部署的测试实验，揭示黑客们如何获取访问权限、攻击网络设备、编写和注入恶意代码及侵占Web应用程序和浏览器。
盛少,¥44.50,¥89.00, Midjourney人工智能绘画从入门到精通, Midjourney人工智能绘画从入门到精通 AI绘画操作技巧+落地方案+组合应用完全自学教程重新定义你的能力边界
吴光科,¥34.50,¥69.00, Linux企业高性能架构实战, Linux企业高性能架构实战 三年创作，九次升级，百万学员好评，十余家媒体推荐 近百位来自百度、阿里、腾讯、京东专家共同打磨 Linux运维实战专家吴光科团队精心打造
罗伯特,¥24.50,¥49.00, 代码整洁之道 程序员的职业素养, 代码整洁之道 程序员的职业素养 代码整洁之道Clean Code姐妹篇 编程大师40余年心得体会 阐释软件工艺中的原理 技术 工具和实践 助力专业软件开发人员具备令人敬佩的职业素养
芒努斯·利·海特兰德,¥54.00,¥108.00, Python基础教程（第3版·修订版）, Python基础教程（第3版·修订版） 
刘兴禄,¥64.00,¥128.00, 运筹优化常用模型、算法及案例实战——Python+Java实现, 运筹优化常用模型、算法及案例实战——Python+Java实现 主要讲述运筹优化领域常用的数学模型、精确算法以及相应的代码实现。
斯科特,¥29.00,¥58.00, 基于R语言的机器学习, 基于R语言的机器学习 
张优优,¥64.00,¥128.00, 做C4D Cinema 4D电商视觉设计教程, 做C4D Cinema 4D电商视觉设计教程 电商Banner常用元素 场景搭建、电商产品建模、逼真渲染技巧、电商画面构图法则、三维长图制作 轻松掌握C4D电商视觉设计 赠送83个实战案例演示视频和254个素材源文件
穆罕默德·埃尔根迪,¥64.00,¥128.00, 深度学习计算机视觉, 深度学习计算机视觉 计算机如何“理解”它所“看到”的东西?本书试图将深度学习应用于计算机视觉以回答该问题。随书赠送源代码和附录，获取地址见书封底二维码。
日本Ank软件技术公司,¥39.90,¥79.80, 图解TCP/IP网络知识轻松入门, 图解TCP/IP网络知识轻松入门 图解概念一清二楚，零基础学习网络的入门书；原版书销量突破700000册。
李昕,¥44.50,¥89.00, SPSS 28.0 统计分析从入门到精通（升级版）, SPSS 28.0 统计分析从入门到精通（升级版） 
刘凤飞,¥54.50,¥109.00, 小学生Scratch创意编程（视频教学版）, 小学生Scratch创意编程（视频教学版） 学习编程，从Scratch开始！小学生、少儿编程、Scratch编程、图形化。过逐步讲解超级简单的软件模块化脚本，本书从零基础切入，引导读者一步步掌握编程思维和技巧。书中配套的视频教程使学习
宋义平,¥34.50,¥69.00, 零基础掌握学术提示工程（新时代学术进阶丛书）, 零基础掌握学术提示工程（新时代学术进阶丛书） 好的问题胜过好的答案借助提示工程提升学术研究效率从初级到进阶讲透20种提示词模型公式+场景+示例+调试
吴军,¥54.50,¥109.00, 计算之魂 （《数学之美》《浪潮之巅》等畅销书作者吴军博士新作）, 计算之魂 （《数学之美》《浪潮之巅》等畅销书作者吴军博士新作） 数学之美姊妹篇，吴军科技领域重磅新作，李国杰院士郑纬民院士作序推荐，快手宿华拼多多陈磊倾情推荐，名企面试题算法题讲透计算思维
范煜,¥49.50,¥99.00, 人工智能与ChatGPT（新时代·科技新物种）, 人工智能与ChatGPT（新时代·科技新物种） 一本书全面掌握ChatGPT，既有向ChatGPT提问的技巧， 也有构建自己的ChatGPT模型的方法，涵盖开发背景、关联技术、使用方法、应用形式、实用案例等
王树义,¥29.90,¥59.90, ChatGPT与AIGC工具入门实战指南 用AI提高办公学习效率！ChatGPT与AIGC生产力工具实践 智慧共生, ChatGPT与AIGC工具入门实战指南 用AI提高办公学习效率！ChatGPT与AIGC生产力工具实践 智慧共生 ChatGPT和AIGC入门实战，小米科技联合创立人王川作序推荐，人人都能用好人工智能AIGC工具，丰富的实践案例，有效提升工作、学习、生活效率！
啊哈磊,¥29.90,¥59.80, 啊哈！算法, 啊哈！算法 算法入门书 算法导论学习指南 ACM和信息学竞赛备考宝典 一本轻松玩转算法和数据结构的超萌书 奥赛教练 微软亚洲研究院小伙伴啊哈磊埋头苦干的作品
樊胜民,¥49.50,¥99.00, 网络运维从入门到精通——29个实践项目详解, 网络运维从入门到精通——29个实践项目详解 
邵云蛟,¥39.50,¥79.00, PPT设计思维：教你又好又快搞定幻灯片（第2版）（全彩印刷）, PPT设计思维：教你又好又快搞定幻灯片（第2版）（全彩印刷） 畅销书升级版，《PPT知识图谱》作者作品，被万千知友收藏的“旁门左道”PPT设计经验，拒绝炫耀技巧，只求又好又快地搞定幻灯片
柳伟卫,¥44.50,¥89.00, 鸿蒙HarmonyOS应用开发入门, 鸿蒙HarmonyOS应用开发入门 一线架构师教你彻底掌握HarmonyOS应用开发。量范例与项目，阅读本书，读者能够学以致用，掌握开发实际应用程序的技能。本书基础与示例相结合，按照边讲边练的思路组织内容。
刘铁猛,¥22.50,¥45.00, 深入浅出 WPF, 深入浅出 WPF 
朱文伟,¥44.50,¥89.00, 嵌入式Linux驱动开发实践, 嵌入式Linux驱动开发实践 详解嵌入式Linux驱动开发和设备端系统构建 实战I2C驱动和SPI驱动开发。嵌入式Linux驱动开发，嵌入式Linux，I2C驱动开发，SPI驱动开发
国本温子,¥44.90,¥89.80, Excel VBA与宏最强教科书(完全版) 教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高, Excel VBA与宏最强教科书(完全版) 教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高 想学Excel VBA？看点有用的！130个好用的Excel VBA办公场景常用技巧，效率提升不只一点点！
国忠金,¥24.50,¥49.00, 零基础学数学建模, 零基础学数学建模 一线知名专家执笔，理论实践并重
朱文伟,¥39.50,¥79.00, OpenCV 4.5计算机视觉开发实战：基于Python, OpenCV 4.5计算机视觉开发实战：基于Python 解析OpenCV图像与视频处理技术，实战停车场车牌识别、物体识别、运动跟踪、人脸检测案例
胡坤,¥34.50,¥69.00, ANSYS Fluent二次开发指南, ANSYS Fluent二次开发指南 流沙老师教你学FLUENT二次开发，快速掌握：UDF程序设计、用户界面定制、流程封装！
刘兵,¥44.90,¥89.80, Web前端开发 HTML5+CSS3+JavaScript+Vue.js+jQuery 网页设计 网页制作 网站建设自学, Web前端开发 HTML5+CSS3+JavaScript+Vue.js+jQuery 网页设计 网页制作 网站建设自学 名师力作、彩色印刷，手机扫码看272集（52小时）同步视频讲解+235个实例源码分析+16个综合实验+2个项目实战+30个思维导图，手把手教你轻松学会Web前端开发，赠课后习题及答案等。
刘汝佳,¥59.00,¥118.00, 算法竞赛入门经典——训练指南, 算法竞赛入门经典——训练指南 刘汝佳经典著作2021升级版，ACM/ICPC/NOI/NOIP竞赛备考红宝书，206道竞赛真题+394道分类练习，信息学奥赛+面试算法+程序开发算法。
安德鲁·凯尼格,¥24.50,¥49.00, C 陷阱与缺陷, C 陷阱与缺陷 c语言的“四书五经”之首，全球畅销30余年，中文版累销10万+册，ACCU主席Francis Glassborow倾力推荐，C++沉思录作者力作，C和指针、C专家编程系列
毕嵘,¥39.00,¥78.00, 极简时间管理：4倍效率实操方法，轻松实现“开挂”人生, 极简时间管理：4倍效率实操方法，轻松实现“开挂”人生 从时间拖延、时间焦虑，到实现时间自由、掌控人生。 秋叶大叔、知名品牌人黄欢等大咖推崇备至的时间管理法。
天工在线,¥44.90,¥89.80, 中文版AutoCAD2022从入门到精通 cad基础教程cad教材自学cad/cam/cae机械设计室内设计建筑设计电气, 中文版AutoCAD2022从入门到精通 cad基础教程cad教材自学cad/cam/cae机械设计室内设计建筑设计电气 
小甲鱼,¥44.50,¥89.00, 零基础入门学习Python（第2版）-微课视频版, 零基础入门学习Python（第2版）-微课视频版 Python 3.7编程轻松入门 小甲鱼畅销图书 实例贯穿全书 30小时视频讲解 轻松学会Python 累计销售13万册
克里斯蒂安·多明斯基,¥58.00,¥129.00, 可视化指南：数据分析与数据交互, 可视化指南：数据分析与数据交互 全面、专业的数据可视化宝典，利用可视化、交互和自动计算，从海量而复杂的数据中生成洞察力；图灵奖获得者理查德·汉明、中国可视化专委会委员黄鑫等大咖诚挚推荐。
天工在线,¥44.90,¥89.80, 中文版MATLAB2022从入门到精通 实战案例视频教程版 matlab数学建模 matlab信号处理 工程绘图程序设计, 中文版MATLAB2022从入门到精通 实战案例视频教程版 matlab数学建模 matlab信号处理 工程绘图程序设计 MATLAB入门畅销经典 586分钟同步视频讲解413个实例案例分析 赠送7个大型工程案例+全书实例源文件，立体化教学 零基础快速入门
乔·门德斯·莫雷拉,¥39.50,¥79.00, 数据分析——统计、描述、预测与应用, 数据分析——统计、描述、预测与应用 知名学者联袂编著，畅销全球的数据分析经典教材！系统论述数据分析原则和方法的学习指南！
本·斯蒂芬森,¥24.90,¥49.80, Python编程练习与解答, Python编程练习与解答 Python入门书，精选186道涵盖各学科和日常生活的实用练习题，帮助程序员扎实掌握基础知识，提高编程技能。
张通,¥18.40,¥36.80, AIGC妙笔生花 口袋里的人工智能 人工智能知识启蒙科普读物 AIGC Chatgpt核心技术 大数据 广东科技, AIGC妙笔生花 口袋里的人工智能 人工智能知识启蒙科普读物 AIGC Chatgpt核心技术 大数据 广东科技 承?AI?之智，生幻化之美；绘五彩斑斓，谱未来乐章。
程罡,¥44.50,¥89.00, 乐高机械结构设计, 乐高机械结构设计 精选6大类100多款乐高机械结构设计作品，案例涉及齿轮机构、连杆机构、传动机构、机械手、变速箱和综合装配等类别。支持扫码观看成品视频演示和案例详细搭建步骤图
左凤鸣,¥39.90,¥79.80, C++少儿编程轻松学 写给中小学生的零基础教程, C++少儿编程轻松学 写给中小学生的零基础教程 
陈明明,¥29.90,¥59.80, ChatGPT高效提问教程 人人都是提示工程师 AIGC时代应学习的生存技能！, ChatGPT高效提问教程 人人都是提示工程师 AIGC时代应学习的生存技能！ 解锁ChatGPT的无限潜能，发挥ChatGPT的全部潜力，展示如何构建高质量的提示指令，有效掌握提示技术，成为与AI交流的高手，快速提高工作效率。
仿真联盟,¥49.90,¥99.80, ANSYS Workbench中文版超级学习手册, ANSYS Workbench中文版超级学习手册 基于ANSYS Workbench 2022进行讲解，内容覆盖各种应用场景，工程实例丰富，提供配套素材+配套视频+彩图文件，边学边练，轻松学会WORKBENCH仿真技术。
王六平,¥44.50,¥89.00, PID控制系统设计——使用MATLAB和Simulink仿真与分析, PID控制系统设计——使用MATLAB和Simulink仿真与分析 本书适合学生、研究者和工业实践者学习PID控制系统的设计和实现；同时涉及无人机PID控制，包括多旋翼无人机的数学模型、无人机的控制策略、无人机PID控制器的自动整定、无人机的增益调度PID控制器和无人
李传钊,¥44.00,¥88.00, 深入浅出OpenHarmony——架构、内核、驱动及应用开发全栈, 深入浅出OpenHarmony——架构、内核、驱动及应用开发全栈 OpenHarmony官方、HarmonyOS官方、华为鸿蒙开发者社区联合推荐，高级软件工程师李传钊老师作品，鸿蒙操作系统、鸿蒙应用、鸿蒙开发
杨迅,¥24.50,¥49.00, 数据中心暖通系统运维, 数据中心暖通系统运维 基础打得牢，运维搞得好
孙桂萍,¥39.90,¥79.80, 中文版After Effects影视后期特效设计实战案例解析, 中文版After Effects影视后期特效设计实战案例解析 9大行业的实际应用、27个精美实用案例、190多个素材文件和效果文件、近200分钟的教学视频，以“设计思路+配色方案+版面构图+操作思路+操作步骤”方式编排。
弗兰茨·兰辛格,¥59.00,¥118.00, Unity 2D游戏开发, Unity 2D游戏开发 四十多年经典游戏的制作人，化繁为简，循序渐进；手把手带您快乐地制造快乐，深入游戏开发的殿堂。作者网站包含了大量彩色的插图以及相关的源代码和视频讲解。
张朝明,¥74.50,¥149.00, 深入浅出Go语言核心编程, 深入浅出Go语言核心编程 Go语言关键特性、设计哲学、场景示例与项目实践全接触，资深开发人带你探究 Go语言的本质。Go、Golang、Go语言编程、Go教程
姜增如,¥39.50,¥79.00, 控制系统建模与仿真——基于MATLAB/Simulink的分析与实现, 控制系统建模与仿真——基于MATLAB/Simulink的分析与实现 控制系统建模|MATLAB编程|Simulink仿真 清华大学|北京航空航天大学|北京理工大学|北京自动化学会 知名专家联袂推荐
龙飞,¥49.00,¥98.00, 人工智能AI摄影与后期修图从小白到高手：Midjourney+Photoshop, 人工智能AI摄影与后期修图从小白到高手：Midjourney+Photoshop AI摄影绘画与后期修图从小白到高手：Midjourney+Photoshop，教你玩转人工智能！
CAE技术联盟,¥44.90,¥89.80, AutoCAD 2024中文版从入门到精通（标准版）, AutoCAD 2024中文版从入门到精通（标准版） 百万工程师的选择，126集同步微视频，87个经典实例，7大综合演练，6套设计图集，7部速查手册
中国电子学会,¥32.50,¥65.00, 智能硬件项目教程——基于Arduino（第2版）, 智能硬件项目教程——基于Arduino（第2版） 
言有三,¥79.50,¥159.00, 深度学习之图像识别：核心算法与实战案例（全彩版）, 深度学习之图像识别：核心算法与实战案例（全彩版） 知名专家8年深度学习算法研究心得和实践经验，中科院、阿里达摩院等机构4位大咖力荐
White,¥74.00,¥148.00, Hadoop权威指南：大数据的存储与分析（第4版）, Hadoop权威指南：大数据的存储与分析（第4版） 引领大数据与云计算，为读者创造巨大价值的高端技术类畅销书，累计销量超过10万册
李鸿君,¥99.50,¥199.00, 大话软件工程——需求分析与软件设计, 大话软件工程——需求分析与软件设计 架构师、需求工程师、项目经理、B端设计人员书
卢西亚诺,¥69.50,¥139.00, 流畅的Python, 流畅的Python 【图灵程序设计丛书】PSF研究员 知名PyCon演讲者心血之作 全面深入 对Python语言关键特性剖析到位 兼顾Python 3和Python 2
保罗·奥兰德,¥64.90,¥129.80, 程序员数学 用Python学透线性代数和微积分, 程序员数学 用Python学透线性代数和微积分 500余幅图片+300余个练习，图文结合，边学边练，通过写代码，重新发现数学之美，提供配套源代码和本书彩色图片下载
麻省理工科技评论,¥49.50,¥99.00, 科技之巅3 麻省理工科技评论 100项全球突破性技术深度剖析, 科技之巅3 麻省理工科技评论 100项全球突破性技术深度剖析 源自MIT的科技创新预言圣经 智能时代的黑科技进化论 科技创业投资行动指南 MITTR官方解读AI、机器人、能源材料、生物医疗、基因等技术，季维智、TomMitchell、徐文伟等重磅解读与推荐
杨阳,¥27.50,¥55.00, Word/Excel/PPT办公应用从入门到精通, Word/Excel/PPT办公应用从入门到精通 办公应用三合一，专门为初学者量身定做。以图解办公实务案例为基础，深入浅出、直观形象地讲解了三大办公软件的基本操作以及繁琐命令快捷化的实用技巧。让你轻松实现高效办公，短时间内轻松成为商务办公能手。
梅磊,¥39.50,¥79.00, ChatGPT大模型：技术场景与商业应用（新时代·科技新物种）, ChatGPT大模型：技术场景与商业应用（新时代·科技新物种） 全方位剖析ChatGPT应用场景，多角度挖掘大模型内在价值；深度解读大模型底层架构，展现多模态模型发展趋势；大模型产业格局初步形成，MaaS商业新生态加快落地；大模型深入渗透多个领域，企业加快布局以抢
张永刚,¥49.00,¥98.00, AI降临：ChatGPT实战与商业变现, AI降临：ChatGPT实战与商业变现 ChatGPT助力掘金，一个人的超级团队时代来临！
明日科技,¥44.90,¥89.80, C++从入门到精通（第5版）, C++从入门到精通（第5版） C++入门经典，销售12年，50万C++程序员、数百所高校的选择，97集微课视频+178个应用示例+122个编程训练+53个实践练习+项目案例+海量开发资源库+在线答疑
明日科技,¥49.90,¥99.80, C#从入门到精通（第7版）, C#从入门到精通（第7版） C#入门经典，18万C#程序员的入行选择。配备升级版C#开发资源库，在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。
长沙卓应教育咨询有限公司,¥54.50,¥109.00, HCIP-Datacom认证实验指南 2023华为数通认证实验手册华为HCIP路由与交换技术hcipdatacom云计算, HCIP-Datacom认证实验指南 2023华为数通认证实验手册华为HCIP路由与交换技术hcipdatacom云计算 华为最新HCIP认证备考手册，涵盖最新版HCIP-Datacom考试认证内容 以企业需求为导向，精简理论，技能为主，配备知识点及实验授课视频，在线交流
龙飞,¥39.00,¥78.00, 剪映短视频剪辑从入门到精通：调色+特效+字幕+配音, 剪映短视频剪辑从入门到精通：调色+特效+字幕+配音 影视剪辑技巧 视频拍摄 视频制作 卡点配音 音频处理 后期特效 滤镜调色 转场 字幕 分屏
猴子·数据分析学院,¥49.50,¥99.00, 数据分析思维：分析方法和业务知识, 数据分析思维：分析方法和业务知识 数据分析思维：AI时代的通用能力，升职加薪的高维武器！
晁岳攀,¥79.00,¥158.00, 深入理解Go并发编程：从原理到实践，看这本就够了, 深入理解Go并发编程：从原理到实践，看这本就够了 深入理解Go并发编程：从原理到实践，看这本就够了
安晓辉,¥34.90,¥69.80, ChatGPT写作超简单, ChatGPT写作超简单 64例开箱即用的提示模版，22种高频复用的写作任务+案例，16万关注者的知乎三个话题优秀答主教你如何使用写作神器ChatGPT，让你的写作不再困难！
天工在线,¥44.90,¥89.80, 中文版EPLAN P8 2022电气设计从入门到精通（实战案例版）eplan书籍 电气工程师书籍电气自动化书籍 epla, 中文版EPLAN P8 2022电气设计从入门到精通（实战案例版）eplan书籍 电气工程师书籍电气自动化书籍 epla CAD/CAM/CAE微视频讲解大系专家教程260分钟同步讲解视频+110个实例案例分析+赠送资源+在线交流
斋藤康毅,¥64.90,¥129.80, 深度学习入门2：自制框架," 深度学习入门2：自制框架 ""鱼书""《深度学习入门：基于Python的理论与实现》续作，由浅入深带你从零创建一个深度学习框架，系统认识深度学习，洞察本质，开创未来！"
李宁,¥39.90,¥79.80, AIGC自动化编程：基于ChatGPT和GitHub Copilot, AIGC自动化编程：基于ChatGPT和GitHub Copilot 基于ChatGPT、GitHub Copilot、Claude2、Amazon CodeWhisperer、CodeGeeX，系统介绍如何实现自动化编程，让工作效率逆袭
周玉姣,¥39.90,¥79.80, 调色全面精通：配色方法+照片调色+视频调色+电影调色, 调色全面精通：配色方法+照片调色+视频调色+电影调色 笔者多年电视台视频的调色经验，进行知识提炼，倾心、干货之作;既讲照片调色，又讲视频调色，帮助你全面精通照片与视频的双重调色;书中所有案例，提供了素材、效果和教学视频
鸟哥,¥84.00,¥168.00, 鸟哥的Linux私房菜：服务器架设篇（第三版修订）, 鸟哥的Linux私房菜：服务器架设篇（第三版修订） 探索Linux服务器的无限潜力！作者以系统基础和网络基础为起点，深入浅出地介绍了各种常见服务器的搭建方法。Linux，服务器搭建，网络，系统安全防护
张晓,¥49.00,¥98.00, CST仿真设计理论与实践, CST仿真设计理论与实践 把仿真实例将理论与工程应用紧密结合，针对不同研究方向全面讲解了CST 的仿真技巧。随书附赠教学课件，获取地址见书前言二维码，教材服务QQ：1815317009
史蒂夫.麦康奈尔,¥128.00,¥256.00, 代码大全2 最新中文纪念版 赠全彩检查清单册 软件开发奠基之作编程最佳实用指南, 代码大全2 最新中文纪念版 赠全彩检查清单册 软件开发奠基之作编程最佳实用指南 赠全彩英文剧本+检查清单合计 《软件开发》杂志Jolt大奖。大而全，洞悉软件构建精髓；优而先，兼顾行业实践研究；奠定硬核技术领导力的经典；庸常变身卓越的实用性指导
明日科技,¥29.90,¥59.80, C语言项目开发实战入门（全彩版）, C语言项目开发实战入门（全彩版） 一本能让初学者通过项目实战开发学会编程的超值图书，精选实用项目，让读者体验编程乐趣、获得实战经验，配同步视频教程和源代码，海量资源免费赠送
明日科技,¥44.90,¥89.80, Java从入门到精通（第7版）, Java从入门到精通（第7版） Java入门经典，95万Java程序员的入行选择。配备升级版Java开发资源库，在线大咖课+在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。
凯西·希拉,¥64.00,¥128.00, Head First Java 实战（第三版）, Head First Java 实战（第三版） 畅销10余年，累计销售30万余册，计算机图书十大好书之一
程杰,¥64.50,¥129.00, 大话设计模式【Java溢彩加强版】, 大话设计模式【Java溢彩加强版】 程杰作品。畅销15年的超级IT原创书焕然上市。全彩印刷，JAVA设计模式与面向对象观念同步养成。
Kevin,¥69.00,¥138.00, 失控：全人类的最终命运和结局（修订版）, 失控：全人类的最终命运和结局（修订版） 早阅读一天，就让你在互联网时代先行一步，《失控》互联网时代最重要的著作之一 (修订版增加了25周年序言；进行了勘误）
刘兵,¥44.90,¥89.80, 鸿蒙应用开发从零基础到实战——始于安卓，成于鸿蒙（视频·案例·应用版） HarmonyOS应用开发从入门到精通 安卓华为, 鸿蒙应用开发从零基础到实战——始于安卓，成于鸿蒙（视频·案例·应用版） HarmonyOS应用开发从入门到精通 安卓华为 一本通俗易懂的鸿蒙开发书籍，配有128集同步讲解视频、109个实例源码分析、13个综合实验、3个综合实战案例，助您印证安卓，学习鸿蒙脉络，真正从入门学到项目实战。
爱编程的魏校长,¥44.90,¥89.80, Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教, Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教 Python 青少年趣味编程 100个趣味编程实例630分钟视频讲解兴趣教学AI时代学编程的孩子不会输
谭明奎,¥18.40,¥36.80, 自然语言处理 口袋里的人工智能 人工智能知识启蒙科普读物 Chatgpt核心技术 大数据与智能机器人 机器学习技术 广东, 自然语言处理 口袋里的人工智能 人工智能知识启蒙科普读物 Chatgpt核心技术 大数据与智能机器人 机器学习技术 广东 自然语言处理，让机器学会说话，让人类实现与机器的无障碍沟通！
王斐,¥39.50,¥79.00, 抖音+剪映+Premiere短视频制作从新手到高手, 抖音+剪映+Premiere短视频制作从新手到高手 全彩印刷 超值附送88个视频，长达230分钟，扫码即可直接观看
回航,¥34.90,¥69.80, 从平凡到非凡：PPT设计蜕变 wps office ppt书籍教程教材 ppt设计思维 ppt制作教程 Ppt 秒懂pp, 从平凡到非凡：PPT设计蜕变 wps office ppt书籍教程教材 ppt设计思维 ppt制作教程 Ppt 秒懂pp 
杨维忠,¥59.00,¥118.00, Stata统计分析从入门到精通, Stata统计分析从入门到精通 致力于让Stata的学习 更简单、更实用、更高效
王维波,¥69.90,¥139.80, Qt 6 C++开发指南, Qt 6 C++开发指南 基于Qt 6.2版本，《Qt 5.9 C++开发指南》版本内容重大升级，涵盖新的功能模块和开发技术，附赠大量示例演示程序和示例源代码，轻松开发GUI程序！
宁海涛,¥54.90,¥109.80, 科研论文配图绘制指南 基于Python, 科研论文配图绘制指南 基于Python 科研和学术论文配图的实用利器，Python科研绘图锦囊，100多种绘图方法、200多个绘图源代码、保姆级的配图绘制技巧，快速提升科研效率，增添论文亮点！
