author,now_price,pre_price,short_title,title
丁盈,¥44.50,¥89.00, 数字孪生系统设计与实践, 数字孪生系统设计与实践 完整呈现数字孪生系统设计的认知探索与实践总结。
荣钦科技,¥44.50,¥89.00, Word文稿之美, Word文稿之美 让你的文档从平凡到出众！Word、数字排版、自动校阅、ChatGPT。清晰的章节结构，从基础知识到高级技巧，系统介绍页面布局、文字建构、样式编修、图文配置、表格与图表排版等。
唯美世界,¥59.00,¥118.00, 中文版 Photoshop 2020 完全案例教程（高清视频+全彩印刷）ps书籍 ps教程 ai教程 ps入门 平面设计, 中文版 Photoshop 2020 完全案例教程（高清视频+全彩印刷）ps书籍 ps教程 ai教程 ps入门 平面设计 畅销70万册“唯美”系列作者全新力作！PS2020新版，310个中小型及综合实例，490集教学视频，涵盖书中所有实例和重要知识点。封面图片全部选自书中案例，原创精美时尚，赠丰富配套及拓展学习资源
弗兰克·瓦斯奎兹,¥79.50,¥159.00, 精通嵌入式Linux编程, 精通嵌入式Linux编程 本书的每一章都介绍嵌入式Linux的一个主要领域。它描述知识背景，以便你可以了解一般原则，它还包括详细的有效示例来说明这些领域中的操作。
刘遄,¥49.90,¥99.90, Linux就该这么学（第2版）, Linux就该这么学（第2版） 刘遄Linux入门教程升级，基于Linux系统RHEL8编写，每章带有大量图表及习题，知识点覆盖红帽认证RHCSA、RHCE、RHCA考试要求，配套站点提供软件、学习资料及答疑服务。
未来科技,¥44.90,¥89.80, HTML5+CSS3+JavaScript从入门到精通（标准版）基础视频讲解与案例实战，8大素材库，源代码配套学习更轻松, HTML5+CSS3+JavaScript从入门到精通（标准版）基础视频讲解与案例实战，8大素材库，源代码配套学习更轻松 10万读者检验 扫一扫随时随地看视频 412节同步视频 661个案例分析 1000习题面试题 4396个案例 47部参考手册 1636个模版 17类素材库 623项配色 508项欣赏库 网页制作 网页
刘杰飞,¥39.90,¥79.80, 自己动手做聊天机器人 chatgpt 人工智能机器学习深度学习实战丛书 机器人建模和控制 智能聊天机器人入门 自然语言处, 自己动手做聊天机器人 chatgpt 人工智能机器学习深度学习实战丛书 机器人建模和控制 智能聊天机器人入门 自然语言处 详细的聊天机器人保姆式实现方案，囊括多种方案与真实应用场景，图文讲解轻松学习
信息学名师工作室,¥38.00,¥76.00, 信息学竞赛入门篇, 信息学竞赛入门篇 本书由全国青少年信息学奥林匹克竞赛金牌教练精心编写而成，书中知识体系完善，内容丰富，并配有真题及详解。本书可作为算法竞赛、全国青少年信息学奥林匹克竞赛NOI等相关比赛的入门教材。
李贵俊,¥39.90,¥79.90, Camunda工作流开发实战——Spring Boot+BPMN+DMN, Camunda工作流开发实战——Spring Boot+BPMN+DMN 本书以基础理论与实战案例的模式，结合当前流行的Spring Framework、Spring Boot等框架，深入浅出地带读者实现简洁、高效的开发。
提图斯·温特斯,¥74.00,¥148.00, Google软件工程, Google软件工程 这本书解释了谷歌做软件工程的方式，讲述了需要考虑的各种权衡。
