Phrase,Frequency
Let L-410UVP,1
Boeing B-737-2T4,1
Beech A36,1
Illyushin 76,1
Cessna 185,1
Gates Learjet 45,1
Embraer 820C Navajo,1
McDonnell Douglas 369D,1
Cessna 180H,1
Mitsubishi MU 2B 35,1
Sikorsky  S 76 A,1
Boeing 737-2J8C,1
Cessna 402C,1
Swearingen SA-226T Metro II,1
Gates Learjet 35A,1
Reims Aviation 406,1
Let 420UVP-E,1
Lockheed C-130A Hercules,1
Aerospatiale AS350BA,1
Piper PA31-310,1
Convair CV-580F,1
Antonov AN-2TP,1
Fairchild Hiller FH-227B,1
Hawker 800A,1
CH-47 Chinook,1
Robertson R44 helicopter,1
Shorts SC-7 Skyvan 3M Variant 100,1
UH-60 Black Hawk / UH-60 Black Hawk,1
Swearingen SA227AT Merlin IVC,1
Douglas DC-9-15F,1
Gates Learjet 24B,1
Boeing B-727-223,1
Beechcraft Super King Air 200,1
Fokker F-50,1
Ilyushin II-76,1
Rockwell Gulfstream Jetprop 840,1
Swearingen SA227AC Metro III,1
PZL-Mielec AN-2R,1
BAe HS-748-232 Srs 2A,1
Mi-8MTV-1,1
Convair CV-440,1
Sikorsky S 76,1
Shorts 360,1
Tupolev 134A-3,1
Rockwell CT-39A Sabreliner,1
CH-47D Chinook,1
Pilatus-Britten Norman BN-2A-27 Islander,1
Boeing 747-244B-SF,1
Canadair CRJ200LR RegionalJet,1
Pilatus Britten-Norman BN-2A-21 Islander,1
Bae Jetstream 3201,1
Beech 200 Super King Air,1
BAe 3101 Jetstream 31,1
Bombardier CRJ200,1
Grumman Gulfstream G3,1
CASA 212-CC,1
Canadair CL-601-2A12 Challenger,1
McDonnell-Douglas MD-82,1
PZL-Mielec M28,1
Black Hawk helicopter,1
CH53E Sea Stallion,1
Let 410UVP-E4,1
Lockheed Hercules C.1,1
Ilyushin 76TD,1
Cessna 560 Citation V,1
Cessna 500 Citation I,1
Pilatus-Britten Norman BN-2B-26 Islander,1
Antonov 24,1
Ilyushin IL-76TD,1
Let-410UVP-E,1
Lockheed Hercules MC-130H,1
Boeing B-707-3J9C,1
Swearingen SA-227AC Metro III,1
Beech 65-A80 Queenaire,1
Yunshuji Y-12,1
Airbus A-340,1
ATR-72-202,1
